,LCIA,database,product,Scenario,imp_cat,imp_yr
1,background,ei391,Ammonium sulphate at WWTP,S0_Ammon_salts,FE,0.6560812687374868
6,background,ei391,Struvite at WWTP,S0_Ammon_salts,FE,0.28618097292528816
11,background,ei391,"compost, market for compost Metropolitan Area of Barcelona",S0_Ammon_salts,FE,0.0
16,background,ei391,"inorganic nitrogen fertiliser, as N",S0_Ammon_salts,FE,0.759219763439902
21,background,ei391,"inorganic phosphorus fertiliser, as P2O5",S0_Ammon_salts,FE,0.0
26,background,ei391,"inorganic potassium fertiliser, as K2O",S0_Ammon_salts,FE,0.6321093781621867
31,background,ei391_Image_SSP2_Base_50,Ammonium sulphate at WWTP,S0_Ammon_salts,FE,1.0364005600638204
36,background,ei391_Image_SSP2_Base_50,Struvite at WWTP,S0_Ammon_salts,FE,0.2779273591136501
41,background,ei391_Image_SSP2_Base_50,"compost, market for compost Metropolitan Area of Barcelona",S0_Ammon_salts,FE,0.0
46,background,ei391_Image_SSP2_Base_50,"inorganic nitrogen fertiliser, as N",S0_Ammon_salts,FE,1.0605403693462294
51,background,ei391_Image_SSP2_Base_50,"inorganic phosphorus fertiliser, as P2O5",S0_Ammon_salts,FE,0.0
56,background,ei391_Image_SSP2_Base_50,"inorganic potassium fertiliser, as K2O",S0_Ammon_salts,FE,0.8975711156780009
61,background,ei391_Image_SSP2_RCP26_50,Ammonium sulphate at WWTP,S0_Ammon_salts,FE,0.16310992508070365
66,background,ei391_Image_SSP2_RCP26_50,Struvite at WWTP,S0_Ammon_salts,FE,0.06569819612745965
71,background,ei391_Image_SSP2_RCP26_50,"compost, market for compost Metropolitan Area of Barcelona",S0_Ammon_salts,FE,0.0
76,background,ei391_Image_SSP2_RCP26_50,"inorganic nitrogen fertiliser, as N",S0_Ammon_salts,FE,0.4372876531442071
81,background,ei391_Image_SSP2_RCP26_50,"inorganic phosphorus fertiliser, as P2O5",S0_Ammon_salts,FE,0.0
86,background,ei391_Image_SSP2_RCP26_50,"inorganic potassium fertiliser, as K2O",S0_Ammon_salts,FE,0.38738992759830587
126,foreground,ei391,Phosphate,S0_Ammon_salts,FE,0.0
134,foreground,ei391_Image_SSP2_Base_50,Phosphate,S0_Ammon_salts,FE,0.0
142,foreground,ei391_Image_SSP2_RCP26_50,Phosphate,S0_Ammon_salts,FE,0.0
