,LCIA,database,product,Scenario,imp_cat,imp_yr
3,background,ei391,Ammonium sulphate at WWTP,S0_Ammon_salts,ME,-0.10212049533536914
8,background,ei391,Struvite at WWTP,S0_Ammon_salts,ME,-0.00326273960060756
13,background,ei391,"compost, market for compost Metropolitan Area of Barcelona",S0_Ammon_salts,ME,0.0
18,background,ei391,"inorganic nitrogen fertiliser, as N",S0_Ammon_salts,ME,0.7012057986536897
23,background,ei391,"inorganic phosphorus fertiliser, as P2O5",S0_Ammon_salts,ME,0.0
28,background,ei391,"inorganic potassium fertiliser, as K2O",S0_Ammon_salts,ME,0.3275092841483008
33,background,ei391_Image_SSP2_Base_50,Ammonium sulphate at WWTP,S0_Ammon_salts,ME,-0.08668305776817856
38,background,ei391_Image_SSP2_Base_50,Struvite at WWTP,S0_Ammon_salts,ME,-0.0054274628723539045
43,background,ei391_Image_SSP2_Base_50,"compost, market for compost Metropolitan Area of Barcelona",S0_Ammon_salts,ME,0.0
48,background,ei391_Image_SSP2_Base_50,"inorganic nitrogen fertiliser, as N",S0_Ammon_salts,ME,0.714477728729661
53,background,ei391_Image_SSP2_Base_50,"inorganic phosphorus fertiliser, as P2O5",S0_Ammon_salts,ME,0.0
58,background,ei391_Image_SSP2_Base_50,"inorganic potassium fertiliser, as K2O",S0_Ammon_salts,ME,0.33756170652353146
63,background,ei391_Image_SSP2_RCP26_50,Ammonium sulphate at WWTP,S0_Ammon_salts,ME,-0.13783926759892182
68,background,ei391_Image_SSP2_RCP26_50,Struvite at WWTP,S0_Ammon_salts,ME,-0.017559825675591834
73,background,ei391_Image_SSP2_RCP26_50,"compost, market for compost Metropolitan Area of Barcelona",S0_Ammon_salts,ME,0.0
78,background,ei391_Image_SSP2_RCP26_50,"inorganic nitrogen fertiliser, as N",S0_Ammon_salts,ME,0.6771718070842367
83,background,ei391_Image_SSP2_RCP26_50,"inorganic phosphorus fertiliser, as P2O5",S0_Ammon_salts,ME,0.0
88,background,ei391_Image_SSP2_RCP26_50,"inorganic potassium fertiliser, as K2O",S0_Ammon_salts,ME,0.3069423281930831
131,foreground,ei391,Nitrate,S0_Ammon_salts,ME,62.27356770057688
139,foreground,ei391_Image_SSP2_Base_50,Nitrate,S0_Ammon_salts,ME,62.27356770057688
147,foreground,ei391_Image_SSP2_RCP26_50,Nitrate,S0_Ammon_salts,ME,62.27356770057688
