,LCIA,database,product,Scenario,imp_cat,imp_yr
0,background,ei391,Ammonium sulphate at WWTP,S0_Ammon_salts,ADP,0.029902362674705113
1,background,ei391,Ammonium sulphate at WWTP,S0_Ammon_salts,FE,0.6560812687374868
2,background,ei391,Ammonium sulphate at WWTP,S0_Ammon_salts,GWP100,1087.5773316113803
3,background,ei391,Ammonium sulphate at WWTP,S0_Ammon_salts,ME,-0.10212049533536914
4,background,ei391,Ammonium sulphate at WWTP,S0_Ammon_salts,WC,156.33378815841263
5,background,ei391,Struvite at WWTP,S0_Ammon_salts,ADP,0.006219802342444926
6,background,ei391,Struvite at WWTP,S0_Ammon_salts,FE,0.28618097292528816
7,background,ei391,Struvite at WWTP,S0_Ammon_salts,GWP100,521.2387531924155
8,background,ei391,Struvite at WWTP,S0_Ammon_salts,ME,-0.00326273960060756
9,background,ei391,Struvite at WWTP,S0_Ammon_salts,WC,15.519421974896016
10,background,ei391,"compost, market for compost Metropolitan Area of Barcelona",S0_Ammon_salts,ADP,0.0
11,background,ei391,"compost, market for compost Metropolitan Area of Barcelona",S0_Ammon_salts,FE,0.0
12,background,ei391,"compost, market for compost Metropolitan Area of Barcelona",S0_Ammon_salts,GWP100,0.0
13,background,ei391,"compost, market for compost Metropolitan Area of Barcelona",S0_Ammon_salts,ME,0.0
14,background,ei391,"compost, market for compost Metropolitan Area of Barcelona",S0_Ammon_salts,WC,0.0
15,background,ei391,"inorganic nitrogen fertiliser, as N",S0_Ammon_salts,ADP,0.052982150351896136
16,background,ei391,"inorganic nitrogen fertiliser, as N",S0_Ammon_salts,FE,0.759219763439902
17,background,ei391,"inorganic nitrogen fertiliser, as N",S0_Ammon_salts,GWP100,3708.3061692686774
18,background,ei391,"inorganic nitrogen fertiliser, as N",S0_Ammon_salts,ME,0.7012057986536897
19,background,ei391,"inorganic nitrogen fertiliser, as N",S0_Ammon_salts,WC,96.11053392499501
20,background,ei391,"inorganic phosphorus fertiliser, as P2O5",S0_Ammon_salts,ADP,0.0
21,background,ei391,"inorganic phosphorus fertiliser, as P2O5",S0_Ammon_salts,FE,0.0
22,background,ei391,"inorganic phosphorus fertiliser, as P2O5",S0_Ammon_salts,GWP100,0.0
23,background,ei391,"inorganic phosphorus fertiliser, as P2O5",S0_Ammon_salts,ME,0.0
24,background,ei391,"inorganic phosphorus fertiliser, as P2O5",S0_Ammon_salts,WC,0.0
25,background,ei391,"inorganic potassium fertiliser, as K2O",S0_Ammon_salts,ADP,0.039562136313863794
26,background,ei391,"inorganic potassium fertiliser, as K2O",S0_Ammon_salts,FE,0.6321093781621867
