,LCIA,database,imp_cat,Scenario,product,imp_yr
0,foreground,ei391,FE,S0_Ammon_salts,Phosphate,0.0
1,foreground,ei391,FE_Reg,S0_Ammon_salts,Phosphate,0.0
2,foreground,ei391,GWP100,S0_Ammon_salts,CH4,0.0
3,foreground,ei391,GWP100,S0_Ammon_salts,CO2,0.0
4,foreground,ei391,GWP100,S0_Ammon_salts,N2O,7690.52239701359
5,foreground,ei391,ME,S0_Ammon_salts,Nitrate,62.27356770057688
6,foreground,ei391,ME_Reg,S0_Ammon_salts,Nitrate,240.1911525711082
7,foreground,ei391,WC,S0_Ammon_salts,Irrigation,23652.19407986375
8,foreground,ei391_Image_SSP2_Base_50,FE,S0_Ammon_salts,Phosphate,0.0
9,foreground,ei391_Image_SSP2_Base_50,FE_Reg,S0_Ammon_salts,Phosphate,0.0
10,foreground,ei391_Image_SSP2_Base_50,GWP100,S0_Ammon_salts,CH4,0.0
11,foreground,ei391_Image_SSP2_Base_50,GWP100,S0_Ammon_salts,CO2,0.0
12,foreground,ei391_Image_SSP2_Base_50,GWP100,S0_Ammon_salts,N2O,7690.52239701359
13,foreground,ei391_Image_SSP2_Base_50,ME,S0_Ammon_salts,Nitrate,62.27356770057688
14,foreground,ei391_Image_SSP2_Base_50,ME_Reg,S0_Ammon_salts,Nitrate,240.1911525711082
15,foreground,ei391_Image_SSP2_Base_50,WC,S0_Ammon_salts,Irrigation,23652.19407986375
16,foreground,ei391_Image_SSP2_RCP26_50,FE,S0_Ammon_salts,Phosphate,0.0
17,foreground,ei391_Image_SSP2_RCP26_50,FE_Reg,S0_Ammon_salts,Phosphate,0.0
18,foreground,ei391_Image_SSP2_RCP26_50,GWP100,S0_Ammon_salts,CH4,0.0
19,foreground,ei391_Image_SSP2_RCP26_50,GWP100,S0_Ammon_salts,CO2,0.0
20,foreground,ei391_Image_SSP2_RCP26_50,GWP100,S0_Ammon_salts,N2O,7690.52239701359
21,foreground,ei391_Image_SSP2_RCP26_50,ME,S0_Ammon_salts,Nitrate,62.27356770057688
22,foreground,ei391_Image_SSP2_RCP26_50,ME_Reg,S0_Ammon_salts,Nitrate,240.1911525711082
23,foreground,ei391_Image_SSP2_RCP26_50,WC,S0_Ammon_salts,Irrigation,23652.19407986375
