,LCIA,database,product,Scenario,imp_cat,imp_yr
1,background,ei391,Ammonium sulphate at WWTP,S0_MinFert,FE,0.0
6,background,ei391,Struvite at WWTP,S0_MinFert,FE,0.0
11,background,ei391,"compost, market for compost Metropolitan Area of Barcelona",S0_MinFert,FE,0.0
16,background,ei391,"inorganic nitrogen fertiliser, as N",S0_MinFert,FE,1.2237424261835566
21,background,ei391,"inorganic phosphorus fertiliser, as P2O5",S0_MinFert,FE,0.19685700361071476
26,background,ei391,"inorganic potassium fertiliser, as K2O",S0_MinFert,FE,0.6321093781621867
31,background,ei391_Image_SSP2_Base_50,Ammonium sulphate at WWTP,S0_MinFert,FE,0.0
36,background,ei391_Image_SSP2_Base_50,Struvite at WWTP,S0_MinFert,FE,0.0
41,background,ei391_Image_SSP2_Base_50,"compost, market for compost Metropolitan Area of Barcelona",S0_MinFert,FE,0.0
46,background,ei391_Image_SSP2_Base_50,"inorganic nitrogen fertiliser, as N",S0_MinFert,FE,1.709423683557854
51,background,ei391_Image_SSP2_Base_50,"inorganic phosphorus fertiliser, as P2O5",S0_MinFert,FE,0.27711251689528926
56,background,ei391_Image_SSP2_Base_50,"inorganic potassium fertiliser, as K2O",S0_MinFert,FE,0.8975711156780009
61,background,ei391_Image_SSP2_RCP26_50,Ammonium sulphate at WWTP,S0_MinFert,FE,0.0
66,background,ei391_Image_SSP2_RCP26_50,Struvite at WWTP,S0_MinFert,FE,0.0
71,background,ei391_Image_SSP2_RCP26_50,"compost, market for compost Metropolitan Area of Barcelona",S0_MinFert,FE,0.0
76,background,ei391_Image_SSP2_RCP26_50,"inorganic nitrogen fertiliser, as N",S0_MinFert,FE,0.704838676978362
81,background,ei391_Image_SSP2_RCP26_50,"inorganic phosphorus fertiliser, as P2O5",S0_MinFert,FE,0.11771818419826345
86,background,ei391_Image_SSP2_RCP26_50,"inorganic potassium fertiliser, as K2O",S0_MinFert,FE,0.38738992759830587
126,foreground,ei391,Phosphate,S0_MinFert,FE,0.43827648456780216
134,foreground,ei391_Image_SSP2_Base_50,Phosphate,S0_MinFert,FE,0.43827648456780216
142,foreground,ei391_Image_SSP2_RCP26_50,Phosphate,S0_MinFert,FE,0.43827648456780216
