,LCIA,database,imp_cat,Scenario,product,imp_yr
0,foreground,ei391,FE,S0_MinFert,Phosphate,0.43827648456780216
1,foreground,ei391,FE_Reg,S0_MinFert,Phosphate,0.0009346211008712721
2,foreground,ei391,GWP100,S0_MinFert,CH4,0.0
3,foreground,ei391,GWP100,S0_MinFert,CO2,0.0
4,foreground,ei391,GWP100,S0_MinFert,N2O,8064.400943870168
5,foreground,ei391,ME,S0_MinFert,Nitrate,66.00825032593497
6,foreground,ei391,ME_Reg,S0_MinFert,Nitrate,254.42043246684713
7,foreground,ei391,WC,S0_MinFert,Irrigation,23652.19407986375
8,foreground,ei391_Image_SSP2_Base_50,FE,S0_MinFert,Phosphate,0.43827648456780216
9,foreground,ei391_Image_SSP2_Base_50,FE_Reg,S0_MinFert,Phosphate,0.0009346211008712721
10,foreground,ei391_Image_SSP2_Base_50,GWP100,S0_MinFert,CH4,0.0
11,foreground,ei391_Image_SSP2_Base_50,GWP100,S0_MinFert,CO2,0.0
12,foreground,ei391_Image_SSP2_Base_50,GWP100,S0_MinFert,N2O,8064.400943870168
13,foreground,ei391_Image_SSP2_Base_50,ME,S0_MinFert,Nitrate,66.00825032593497
14,foreground,ei391_Image_SSP2_Base_50,ME_Reg,S0_MinFert,Nitrate,254.42043246684713
15,foreground,ei391_Image_SSP2_Base_50,WC,S0_MinFert,Irrigation,23652.19407986375
16,foreground,ei391_Image_SSP2_RCP26_50,FE,S0_MinFert,Phosphate,0.43827648456780216
17,foreground,ei391_Image_SSP2_RCP26_50,FE_Reg,S0_MinFert,Phosphate,0.0009346211008712721
18,foreground,ei391_Image_SSP2_RCP26_50,GWP100,S0_MinFert,CH4,0.0
19,foreground,ei391_Image_SSP2_RCP26_50,GWP100,S0_MinFert,CO2,0.0
20,foreground,ei391_Image_SSP2_RCP26_50,GWP100,S0_MinFert,N2O,8064.400943870168
21,foreground,ei391_Image_SSP2_RCP26_50,ME,S0_MinFert,Nitrate,66.00825032593497
22,foreground,ei391_Image_SSP2_RCP26_50,ME_Reg,S0_MinFert,Nitrate,254.42043246684713
23,foreground,ei391_Image_SSP2_RCP26_50,WC,S0_MinFert,Irrigation,23652.19407986375
