,Fid,Area,WE_mm_ha_yr
0,0.0,1.0090782600000001,0.0
1,1.0,0.19119886,4578.062698700191
2,2.0,0.050159760000000005,17450.649066103982
3,3.0,0.7720089700000001,1098.555783619975
4,4.0,0.14283853,0.0
5,5.0,0.34389446,0.0
6,6.0,0.41430664,2041.886327117519
7,7.0,0.32932930000000005,2514.5365790410992
8,8.0,0.11160208,7503.999575993566
9,9.0,0.15107600000000002,5447.25005295348
10,10.0,0.03328225,0.0
11,11.0,0.55077931,511.17409130709734
12,12.0,0.31449992000000004,0.0
13,13.0,0.09679631000000001,8884.008509208667
14,14.0,0.04041554,0.0
15,15.0,0.19516830000000002,0.0
16,16.0,0.7508649700000001,421.6110304759589
17,17.0,0.18534762000000002,1717.7361082381312
18,18.0,0.22945418,1381.5125941484262
19,19.0,0.33571771,944.227337455626
20,20.0,0.3794218,792.8420872232435
21,21.0,0.01372515,46487.53424917032
22,22.0,0.04033298,0.0
23,23.0,0.08209987999999999,0.0
24,24.0,0.25164596,0.0
25,25.0,2.49731707,74.15200193221762
26,26.0,0.19655585000000003,942.1294771943953
27,27.0,3.34897771,252.35754207214475
28,28.0,0.53898444,0.0
29,29.0,0.12157016000000001,6940.580644131749
30,30.0,1.14510656,311.77028782369376
31,31.0,0.46576314,586.9048752977747
32,32.0,0.13436753,6417.819192255748
33,33.0,0.35025475,2415.290766078119
34,34.0,0.9899435200000001,900.8360033509791
35,35.0,1.32032539,0.0
36,36.0,1.2970904500000002,622.7289394120511
37,37.0,0.27761545000000004,2909.5490191558133
38,38.0,2.3223102900000003,348.833681932314
39,39.0,0.33717977000000005,2557.5274366252756
40,40.0,1.82722708,477.93730612836595
41,41.0,0.09320529000000001,7666.213578113431
42,42.0,0.38812055,0.0
43,43.0,0.10450492,0.0
44,44.0,0.15002801,0.0
45,45.0,0.00967178,0.0
46,46.0,0.005841890000000001,0.0
47,47.0,2.0858045500000006,0.0
48,48.0,0.18949628000000002,0.0
49,49.0,0.21648470000000003,0.0
50,50.0,0.0209326,0.0
51,51.0,0.007141540000000001,0.0
52,52.0,0.02521248,0.0
53,53.0,0.03680437,24554.967173735073
54,54.0,0.14951588999999998,0.0
55,55.0,0.015475960000000002,0.0
56,56.0,0.11720827,0.0
57,57.0,1.15285558,0.0
58,58.0,0.3478625,0.0
59,59.0,0.19271526,0.0
60,60.0,0.6704557,0.0
61,61.0,0.16601653,4886.219242445316
62,62.0,0.23183137000000004,0.0
63,63.0,0.22462421,0.0
64,64.0,1.11202245,0.0
65,65.0,0.1689603,4458.330588901654
66,66.0,0.01130803,0.0
67,67.0,0.053119290000000007,0.0
68,68.0,0.4081099,0.0
69,69.0,0.01853033,0.0
70,70.0,0.00203453,0.0
71,71.0,0.00203061,0.0
72,72.0,0.00249169,0.0
73,73.0,1.46815676,0.0
74,74.0,0.24313849,0.0
75,75.0,0.029156420000000006,28992.216979999597
76,76.0,0.79959628,345.3295119131871
77,77.0,0.30222953,2593.900455723172
78,78.0,0.08245910000000001,10885.61991520645
79,79.0,0.20593975,4096.163884825538
80,80.0,0.84032694,1068.5694445307206
81,81.0,0.21005996000000002,3986.7757805914084
82,82.0,0.7534783300000001,1105.8063806559637
83,83.0,2.1578743,385.22985245248077
84,84.0,0.45509792,1826.590633945328
85,85.0,0.25743953,3289.29773916228
86,86.0,0.14385877000000002,0.0
87,87.0,0.27050066,1003.8830191763673
88,88.0,0.15425866000000002,1787.4063128773453
89,89.0,0.01824875,0.0
90,90.0,2.67419141,0.0
91,91.0,0.37765713,0.0
92,92.0,0.62517619,1203.557439383608
93,93.0,0.13478938000000001,5582.305181610006
94,94.0,0.02251383,33672.92522862614
95,95.0,1.0209917400000001,0.0
96,96.0,0.15759207,0.0
97,97.0,0.8084262700000001,0.0
98,98.0,0.01436745,0.0
99,99.0,0.02213083,0.0
100,100.0,0.08585264,0.0
101,101.0,0.02251355,0.0
102,102.0,0.11256796,0.0
103,103.0,0.31009857,0.0
104,104.0,3.10081101,0.0
105,105.0,0.55203318,0.0
106,106.0,0.44755317,0.0
107,107.0,0.02251307,0.0
108,108.0,0.35857651,0.0
109,109.0,0.11256534,0.0
110,110.0,0.01329972,0.0
111,111.0,0.022513110000000003,0.0
112,112.0,0.5306397700000001,0.0
113,113.0,0.13522646,0.0
114,114.0,0.022272550000000002,15986.517942489747
115,115.0,0.02251413,15814.98020132246
116,116.0,0.02238755,15904.39865907614
117,117.0,0.01056164,33656.40447884987
118,118.0,0.015415280000000002,0.0
119,119.0,0.022514140000000002,0.0
120,120.0,0.022514140000000002,15802.900319532526
121,121.0,2.78164423,296.9842374127047
122,122.0,25.69039786,32.156157911678214
123,123.0,9.5725449,86.2993591599659
124,124.0,1.25582676,657.81723778525
125,125.0,6.34812668,135.8426755355802
126,126.0,0.017538250000000002,49169.47317149659
127,127.0,6.7567752,127.32137171738377
128,128.0,49.973994790000006,17.141323255218598
129,129.0,0.02251403,15657.125072676903
130,130.0,2.4963457200000003,349.5256965249188
131,131.0,0.4684619,1149.5251187983486
132,132.0,0.23202513,2245.7422866221427
133,133.0,0.31201795000000004,1669.99573582225
134,134.0,9.12912729,57.07759673487914
135,135.0,0.04394551000000001,7802.895381120846
136,136.0,0.0413457,19571.37767168049
137,137.0,0.04750453,17062.519145016275
138,138.0,0.18005670000000001,0.0
139,139.0,0.05053038000000001,0.0
140,140.0,0.53928485,1489.7273887816427
141,141.0,3.75073593,75.61359591636196
142,142.0,0.8550635500000001,0.0
143,143.0,5.63299454,142.6217273414932
144,144.0,0.01960367,42453.66048296058
145,145.0,1.27924962,407.32366682274255
146,146.0,0.62279536,835.6572679025742
147,147.0,0.01551011,0.0
148,148.0,0.86950296,212.9734672783633
149,149.0,0.10534687,1778.659304733022
150,150.0,0.00689794,27164.07950054654
151,151.0,2.46306157,75.18328508531764
152,152.0,0.035548340000000005,10674.051452191577
153,153.0,0.04795639,7817.251224497925
154,154.0,0.03575586,10473.042885837453
155,155.0,0.38066131999999997,0.0
156,156.0,0.37753984,0.0
