,LCIA,database,product,Scenario,imp_cat,imp_yr
91,background,ei391,Ammonium sulphate at WWTP,S0_compost,ME_Reg,0.0
93,background,ei391,Struvite at WWTP,S0_compost,ME_Reg,0.0
95,background,ei391,"compost, market for compost Metropolitan Area of Barcelona",S0_compost,ME_Reg,-0.06616040140432906
97,background,ei391,"inorganic nitrogen fertiliser, as N",S0_compost,ME_Reg,1.1033735639163165
99,background,ei391,"inorganic phosphorus fertiliser, as P2O5",S0_compost,ME_Reg,0.048749873469119194
101,background,ei391,"inorganic potassium fertiliser, as K2O",S0_compost,ME_Reg,0.31096310791712817
103,background,ei391_Image_SSP2_Base_50,Ammonium sulphate at WWTP,S0_compost,ME_Reg,0.0
105,background,ei391_Image_SSP2_Base_50,Struvite at WWTP,S0_compost,ME_Reg,0.0
107,background,ei391_Image_SSP2_Base_50,"compost, market for compost Metropolitan Area of Barcelona",S0_compost,ME_Reg,-0.435506651052589
109,background,ei391_Image_SSP2_Base_50,"inorganic nitrogen fertiliser, as N",S0_compost,ME_Reg,1.1242574425380976
111,background,ei391_Image_SSP2_Base_50,"inorganic phosphorus fertiliser, as P2O5",S0_compost,ME_Reg,0.05095338556470433
113,background,ei391_Image_SSP2_Base_50,"inorganic potassium fertiliser, as K2O",S0_compost,ME_Reg,0.32050766941567166
115,background,ei391_Image_SSP2_RCP26_50,Ammonium sulphate at WWTP,S0_compost,ME_Reg,0.0
117,background,ei391_Image_SSP2_RCP26_50,Struvite at WWTP,S0_compost,ME_Reg,0.0
119,background,ei391_Image_SSP2_RCP26_50,"compost, market for compost Metropolitan Area of Barcelona",S0_compost,ME_Reg,0.008969163395608434
121,background,ei391_Image_SSP2_RCP26_50,"inorganic nitrogen fertiliser, as N",S0_compost,ME_Reg,1.0655551788087814
123,background,ei391_Image_SSP2_RCP26_50,"inorganic phosphorus fertiliser, as P2O5",S0_compost,ME_Reg,0.04494270272097722
125,background,ei391_Image_SSP2_RCP26_50,"inorganic potassium fertiliser, as K2O",S0_compost,ME_Reg,0.2914352201478972
132,foreground,ei391,Nitrate,S0_compost,ME_Reg,260.73488393970143
140,foreground,ei391_Image_SSP2_Base_50,Nitrate,S0_compost,ME_Reg,260.73488393970143
148,foreground,ei391_Image_SSP2_RCP26_50,Nitrate,S0_compost,ME_Reg,260.73488393970143
