,LCIA,database,product,Scenario,imp_cat,imp_yr
4,background,ei391,Ammonium sulphate at WWTP,S0_struvite_P,WC,0.0
9,background,ei391,Struvite at WWTP,S0_struvite_P,WC,15.519421974896016
14,background,ei391,"compost, market for compost Metropolitan Area of Barcelona",S0_struvite_P,WC,0.0
19,background,ei391,"inorganic nitrogen fertiliser, as N",S0_struvite_P,WC,146.03090908569231
24,background,ei391,"inorganic phosphorus fertiliser, as P2O5",S0_struvite_P,WC,0.0
29,background,ei391,"inorganic potassium fertiliser, as K2O",S0_struvite_P,WC,37.47227698213348
34,background,ei391_Image_SSP2_Base_50,Ammonium sulphate at WWTP,S0_struvite_P,WC,0.0
39,background,ei391_Image_SSP2_Base_50,Struvite at WWTP,S0_struvite_P,WC,14.860350314669944
44,background,ei391_Image_SSP2_Base_50,"compost, market for compost Metropolitan Area of Barcelona",S0_struvite_P,WC,0.0
49,background,ei391_Image_SSP2_Base_50,"inorganic nitrogen fertiliser, as N",S0_struvite_P,WC,144.61271384900792
54,background,ei391_Image_SSP2_Base_50,"inorganic phosphorus fertiliser, as P2O5",S0_struvite_P,WC,0.0
59,background,ei391_Image_SSP2_Base_50,"inorganic potassium fertiliser, as K2O",S0_struvite_P,WC,36.96657793343795
64,background,ei391_Image_SSP2_RCP26_50,Ammonium sulphate at WWTP,S0_struvite_P,WC,0.0
69,background,ei391_Image_SSP2_RCP26_50,Struvite at WWTP,S0_struvite_P,WC,14.416054424617368
74,background,ei391_Image_SSP2_RCP26_50,"compost, market for compost Metropolitan Area of Barcelona",S0_struvite_P,WC,0.0
79,background,ei391_Image_SSP2_RCP26_50,"inorganic nitrogen fertiliser, as N",S0_struvite_P,WC,143.7572453232332
84,background,ei391_Image_SSP2_RCP26_50,"inorganic phosphorus fertiliser, as P2O5",S0_struvite_P,WC,0.0
89,background,ei391_Image_SSP2_RCP26_50,"inorganic potassium fertiliser, as K2O",S0_struvite_P,WC,36.500488331704275
133,foreground,ei391,Irrigation,S0_struvite_P,WC,23652.19407986375
141,foreground,ei391_Image_SSP2_Base_50,Irrigation,S0_struvite_P,WC,23652.19407986375
149,foreground,ei391_Image_SSP2_RCP26_50,Irrigation,S0_struvite_P,WC,23652.19407986375
