,DUN_GRUP,DUN_CULTIU,Voronoi_1,ID_Voronoi,Municipi,Codi_munic,Comarca,Codi_comar,ID_CUENCA,CUENCA,ID_SUBCUEN,N_SUBCUENC,SUBCUENCAS,yield_kgHA,Voronoi_ag,Vor_ag_Num,Fid,Area,FoodTons_N,P_Manure,P_Fertiliser,P_Struvite,P_Compost,P_In,P_PO43-,P_Harvest,P_Out,P_Balance,P_bln_check
0,HORTICOLES,HORTA,HORTA,43,Castelldefels,80569,Baix Llobregat,11,3,Garraf,57251,FONDO D'AIMARIC,RIERES DE GARRAF,20332.0,HORTA,19,0,10090.7826,20.517,0,0.0,80.0,0,80.0,0.0,80.0,80.0,0.0,Enough
1,HORTICOLES,HORTA,HORTA,43,Cornellà de Llobregat,80734,Baix Llobregat,11,4,Llobregat,57275,RIU LLOBREGAT,EL LLOBREGAT,20332.0,HORTA,19,1,1911.9886,3.887,0,0.0,80.0,0,80.0,0.0,80.0,80.0,0.0,Enough
2,HORTICOLES,HORTA,HORTA,43,Cornellà de Llobregat,80734,Baix Llobregat,11,4,Llobregat,57275,RIU LLOBREGAT,EL LLOBREGAT,20332.0,HORTA,19,2,501.5976,1.02,0,0.0,80.0,0,80.0,0.0,80.0,80.0,0.0,Enough
3,GUARET,GUARET SIE/ SUP. LLIURE SEMBRA,Horta familiar,44,Cornellà de Llobregat,80734,Baix Llobregat,11,4,Llobregat,57275,RIU LLOBREGAT,RIERES DEL PLA DE BARCELONA,20332.0,HORTA,19,3,7720.0897,15.696,0,0.0,80.0,0,80.0,0.0,80.0,80.0,0.0,Enough
4,PROTEAGINOSES,PESOLS,PESOLS,54,Cerdanyola del Vallès,82665,Valles Occidental,40,5,Besos,59568,RIU SEC,EL BESÃ?S,7500.0,PESOLS,26,4,1428.3853,1.071,0,0.0,5.475,0,5.475,0.0,5.475,5.475,0.0,Enough
5,OLIVERAR,OLIVERES,Horta familiar,44,Cervelló,80689,Baix Llobregat,11,4,Llobregat,57307,RIERA DE CERVELLO,EL LLOBREGAT,20332.0,HORTA,19,5,3438.9446,6.992,0,0.0,80.0,0,80.0,0.0,80.0,80.0,0.0,Enough
6,HORTICOLES,HORTA,HORTA,43,Molins de Rei,81234,Baix Llobregat,11,4,Llobregat,57306,TORRENT D'EN BENET,EL LLOBREGAT,20332.0,HORTA,19,6,4143.0664,8.424,0,0.0,80.0,0,80.0,0.0,80.0,80.0,0.0,Enough
7,GUARET,GUARET NO SIE/ SUP. LLIURE SE*,Horta familiar,44,Barberà del Vallès,82520,Valles Occidental,40,5,Besos,59568,RIU SEC,EL BESÃ?S,21836.0,HORTA,19,7,3293.293,7.191,0,0.0,80.0,0,80.0,0.0,80.0,80.0,0.0,Enough
8,HORTICOLES,HORTA,HORTA,43,Barcelona,80193,Barcelones,13,4,Llobregat,57275,RIU LLOBREGAT,EL LLOBREGAT,22720.0,HORTA,19,8,1116.0208,2.536,0,0.0,80.0,0,80.0,0.0,80.0,80.0,0.0,Enough
9,HORTICOLES,HORTA,HORTA,43,Sant Boi de Llobregat,82009,Baix Llobregat,11,4,Llobregat,57276,RIERA DE CAN PINYOL,EL LLOBREGAT,20332.0,HORTA,19,9,1510.76,3.072,0,0.0,80.0,0,80.0,0.0,80.0,80.0,0.0,Enough
10,FRUITA DOLCA,FRUITERS VARIS,Altres conreus herbacis en regadiu,9,Molins de Rei,81234,Baix Llobregat,11,4,Llobregat,57335,RIERA DE VALLVIDRERA,EL LLOBREGAT,1350.0,ALTRES CONREUS HERBACIS,1,10,332.8225,0.045,0,0.0,16.2,0,16.2,0.0,16.2,16.2,0.0,Enough
11,HORTICOLES,HORTA,Fruiters no cítrics en regadiu,34,Molins de Rei,81234,Baix Llobregat,11,4,Llobregat,57306,TORRENT D'EN BENET,EL LLOBREGAT,13633.0,FRUITERS NO CITRICS,15,11,5507.7931,7.509,0,0.0,14.9963,0,14.9963,0.0,14.9963,14.9963,0.0,Enough
12,OLIVERAR,OLIVERES,Vinyes,67,Pallejà,81574,Baix Llobregat,11,4,Llobregat,57307,RIERA DE CERVELLO,EL LLOBREGAT,5962.0,VINYES,38,12,3144.9992,1.875,0,0.0,16.0,0,16.0,0.0,16.0,16.0,0.0,Enough
13,HORTICOLES,HORTA,HORTA,43,Sant Boi de Llobregat,82009,Baix Llobregat,11,4,Llobregat,57276,RIERA DE CAN PINYOL,EL LLOBREGAT,20332.0,HORTA,19,13,967.9631,1.968,0,0.0,80.0,0,80.0,0.0,80.0,80.0,0.0,Enough
14,CEREALS,CIVADA,CIVADA,20,Castellbisbal,80543,Valles Occidental,40,4,Llobregat,57346,RIERA DE RUBI,EL LLOBREGAT,1000.0,CIVADA,9,14,404.1554,0.04,0,0.0,12.0,0,12.0,0.0,12.0,12.0,0.0,Enough
15,GUARET,GUARET NO SIE/ SUP. LLIURE SE*,Fruiters no cítrics,29,Castellbisbal,80543,Valles Occidental,40,4,Llobregat,57346,RIERA DE RUBI,EL LLOBREGAT,4113.0,FRUITERS NO CITRICS,15,15,1951.683,0.803,0,0.0,4.5243,0,4.5243,0.0,4.5243,4.5243,0.0,Enough
16,HORTICOLES,HORTA,Fruiters no cítrics en regadiu,34,Sant Joan Despí,82172,Baix Llobregat,11,4,Llobregat,57275,RIU LLOBREGAT,EL LLOBREGAT,13633.0,FRUITERS NO CITRICS,15,16,7508.6497,10.237,0,0.0,14.9963,0,14.9963,0.0,14.9963,14.9963,0.0,Enough
17,HORTICOLES,HORTA,Fruiters no cítrics en regadiu,34,Cornellà de Llobregat,80734,Baix Llobregat,11,4,Llobregat,57275,RIU LLOBREGAT,EL LLOBREGAT,13633.0,FRUITERS NO CITRICS,15,17,1853.4762,2.527,0,0.0,14.9963,0,14.9963,0.0,14.9963,14.9963,0.0,Enough
18,HORTICOLES,HORTA,Fruiters no cítrics en regadiu,34,Sant Joan Despí,82172,Baix Llobregat,11,4,Llobregat,57275,RIU LLOBREGAT,EL LLOBREGAT,13633.0,FRUITERS NO CITRICS,15,18,2294.5418,3.128,0,0.0,14.9963,0,14.9963,0.0,14.9963,14.9963,0.0,Enough
19,HORTICOLES,HORTA,Fruiters no cítrics en regadiu,34,Cornellà de Llobregat,80734,Baix Llobregat,11,4,Llobregat,57275,RIU LLOBREGAT,EL LLOBREGAT,13633.0,FRUITERS NO CITRICS,15,19,3357.1771,4.577,0,0.0,14.9963,0,14.9963,0.0,14.9963,14.9963,0.0,Enough
20,HORTICOLES,HORTA,Fruiters no cítrics en regadiu,34,Sant Joan Despí,82172,Baix Llobregat,11,4,Llobregat,57275,RIU LLOBREGAT,EL LLOBREGAT,13633.0,FRUITERS NO CITRICS,15,20,3794.218,5.173,0,0.0,14.9963,0,14.9963,0.0,14.9963,14.9963,0.0,Enough
21,FRUITA DOLCA,CAQUI,CAQUI,15,Santa Coloma de Cervelló,82444,Baix Llobregat,11,4,Llobregat,57287,RIERA DE CAN MALLOL,EL LLOBREGAT,12600.0,CAQUI,5,21,137.2515,0.173,0,0.0,13.86,0,13.86,0.0,13.86,13.86,0.0,Enough
22,HORTICOLES,HORTA,Fruiters no cítrics en regadiu,34,Cervelló,80689,Baix Llobregat,11,4,Llobregat,57307,RIERA DE CERVELLO,EL LLOBREGAT,5438.0,FRUITERS NO CITRICS,15,22,403.3298,0.219,0,0.0,5.9818,0,5.9818,0.0,5.9818,5.9818,0.0,Enough
23,HORTICOLES,HORTA,Fruiters no cítrics en regadiu,34,Cervelló,80689,Baix Llobregat,11,4,Llobregat,57307,RIERA DE CERVELLO,EL LLOBREGAT,5438.0,FRUITERS NO CITRICS,15,23,820.9987999999998,0.446,0,0.0,5.9818,0,5.9818,0.0,5.9818,5.9818,0.0,Enough
24,CEREALS,CIVADA,CIVADA,20,Cerdanyola del Vallès,82665,Valles Occidental,40,5,Besos,59536,RIERA DE SANT CUGAT,EL BESÃ?S,1000.0,CIVADA,9,24,2516.4596,0.252,0,0.0,12.0,0,12.0,0.0,12.0,12.0,0.0,Enough
25,CEREALS,TRITICALE,TRITICALE,64,Barberà del Vallès,82520,Valles Occidental,40,5,Besos,59567,TORRENT DE CAN DURAN,EL BESÃ?S,3000.0,TRITICALE,36,25,24973.1707,7.492,0,0.0,12.0,0,12.0,0.0,12.0,12.0,0.0,Enough
26,CEREALS,TRITICALE,TRITICALE,64,Montcada i Reixac,81252,Valles Occidental,40,5,Besos,59567,TORRENT DE CAN DURAN,EL BESÃ?S,3000.0,TRITICALE,36,26,1965.5585,0.59,0,0.0,12.0,0,12.0,0.0,12.0,12.0,0.0,Enough
27,FRUITA DOLCA,PRESSEGUERS,Altres conreus herbacis en regadiu,9,Sant Vicenç dels Horts,82634,Baix Llobregat,11,4,Llobregat,57275,RIU LLOBREGAT,EL LLOBREGAT,3700.0,ALTRES CONREUS HERBACIS,1,27,33489.7771,12.391,0,0.0,44.4,0,44.4,0.0,44.4,44.4,0.0,Enough
28,GUARET,GUARET NO SIE/ SUP. LLIURE SE*,Altres conreus herbacis en regadiu,9,Sant Andreu de la Barca,81960,Baix Llobregat,11,4,Llobregat,57275,RIU LLOBREGAT,EL LLOBREGAT,1350.0,ALTRES CONREUS HERBACIS,1,28,5389.8444,0.728,0,0.0,16.2,0,16.2,0.0,16.2,16.2,0.0,Enough
29,GUARET,GUARET NO SIE/ SUP. LLIURE SE*,Altres conreus herbacis en regadiu,9,Corbera de Llobregat,80728,Baix Llobregat,11,4,Llobregat,57414,RIERA DE CORBERA,EL LLOBREGAT,3700.0,ALTRES CONREUS HERBACIS,1,29,1215.7016,0.45,0,0.0,44.4,0,44.4,0.0,44.4,44.4,0.0,Enough
